Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Colendi,https://www.crunchbase.com/organization/colendi,2021-09-14,11-50,2018-02-01,day,"Artificial Intelligence, Blockchain, Ethereum, FinTech","London, England, United Kingdom","A multifunctional banking as a service platform that democratizes banking services for consumers, merchants, and financial institutions","1,264",Less than $1M,Active,For Profit,http://www.colendi.com/,https://twitter.com/colenditoken,https://www.facebook.com/colenditoken/,https://www.linkedin.com/company/colendi/,,"Colendi is a multifunctional banking as a service platform that democratizes banking services for consumers, merchants, and financial institutions to overcome the limitations associated with legacy banking. Colendi is moving forward with the goal of solving a chronic financial problem that directly affects more than three billion people who do not have bank accounts and more than five billion people who cannot get loans.   Colendi develops unique services based on scoring algorithms, combining new generation financial technology solutions utilizing artificial intelligence and big data. Together with its platform partners and strategic business allies, Colendi provides fast and easy access to loans with buy-now-pay-later model as well as other distinct financial services to 3M users as of today. By increasing users' literacy level, Colendi helps them save through micro-investment platforms.",,,38000000,USD,38000000,Series A,40500000,USD,40500000,38000000,USD,38000000,Series A,Early Stage Venture,"Boğaziçi Ventures, Re-Pie Asset Management, Aslanoba Capital, StartupFon, Next Ventures",,,10,"1,894",info@colendi.com,
Indoor Robotics,https://www.crunchbase.com/organization/indoor-robotics,2022-06-15,11-50,2018-01-01,day,"Artificial Intelligence, Cloud Computing, Drone Management, Drones, Robotics, Security, Smart Building","Ramat Gan, Tel Aviv, Israel",Indoor robotics develops fully autonomous indoor drone fleet and AI based solutions for security and monitoring in smart buildings.,"1,502",,Active,For Profit,https://www.indoor-robotics.com,https://twitter.com/indoorrobotics,https://www.facebook.com/indoorrobotics/,https://www.linkedin.com/company/indoorrobotics,,"Indoor Robotics is the creator of Tando, one of a kind flying robot.  Leveraging independent AI based navigation and patented unobtrusive ceiling docking Tile™, Tando provides real-time coverage with AI based predictive analysis that eliminates false alarms. Its fully automated data collection and analysis ensures consistent quality and fewer safety and security risks. Our combined solution of robotics paired with AI powered capabilities enable the most cost-effective and efficient solution for intelligent indoor monitoring and inspection. Partnering with global leaders in the security and smart building arenas and led by top experts with decades of experience in robotics and smart building automation, Indoor Robotics are shaping the future of intelligent Indoor monitoring and inspection.",,,15000000,USD,15000000,Series A,15000000,USD,15000000,15000000,USD,15000000,Series A,Early Stage Venture,"Pitango Venture Capital, European Innovation Council, Matias Ventures, Target Global, Spider Capital",,,3,784,hello@indoor-robotics.com,
bitsCrunch,https://www.crunchbase.com/organization/bitscrunch,2022-01-01,11-50,2021-02-01,day,"Analytics, Artificial Intelligence, Blockchain, Ethereum, Information Technology, Machine Learning, Predictive Analytics, Software","Munich, Bayern, Germany","A Blockchain Analytics company which is headquarted in Munich, Germany - uses AI & ML to secure the NFT Ecosystem.","1,524",,Active,For Profit,https://bitscrunch.com,https://www.linkedin.com/company/bitscrunch,https://facebook.com/bitscrunch,https://www.linkedin.com/company/bitscrunch,,"The Ecosystem Guardians - Analytics firm making giant strides in the blockchain ecosystem by providing AI enabled securing services that protects the ecosystem integrity, with a cross-functional team of experts backed by the leaders in the industry.",,,3600000,USD,3600000,Undisclosed,4350000,USD,4350000,3600000,USD,3600000,Undisclosed,,"Animoca Brands, LedgerPrime, Coinbase Ventures, MEXC Global, DWeb3 Capital",,,48,"24,343",info@bitscrunch.com,
Buildots,https://www.crunchbase.com/organization/buildots,2022-05-17,101-250,2018-10-01,day,"Artificial Intelligence, Construction, Software","Tel Aviv, Tel Aviv, Israel",Buildots specializes in transforming construction sites into a data-driven digital environment.,"1,598",$10M to $50M,Active,For Profit,http://buildots.com,https://twitter.com/buildots,https://www.facebook.com/buildots/,https://www.linkedin.com/company/buildots/,,"Buildots specializes in transforming construction sites into a data-driven digital environment. Its platform enables maximum control of construction processes at minimal effort. The solution turns every site walk into valuable process data that can immediately be used for gaining full control of a certain project. Construction needed to continuously see through walls and up buildings. It needed data that was intelligent, predictive, conclusive, and connected. Advanced AI and integrations that eliminate errors, delays and extremely expensive mistakes. It needed technology that could bring piece of mind to everyone involved. And so Buildots was born. In only three years, Buildots went from three passionate co-founders to over 200 employees spanning two continents, connecting everyone through the same vision: Connection makes everything better, everyone stronger and pushes the industry forward.",,,60000000,USD,60000000,Series C,106000000,USD,106000000,60000000,USD,60000000,Series C,Late Stage Venture,"Lightspeed Venture Partners, Future Energy Ventures, O.G. Tech, Viola Growth, Eyal Ofer",,,29,"8,668",info@buildots.com,
accessiBe,https://www.crunchbase.com/organization/accessibe,2022-06-01,101-250,2018-03-01,month,"Artificial Intelligence, Internet, Machine Learning, SaaS, Software, Web Design","Tel Aviv, Tel Aviv, Israel",accessiBe is the market leader in web accessibility solutions and technologies.,"1,684",$1M to $10M,Active,For Profit,https://accessibe.com/,https://twitter.com/AccessiBe,https://www.facebook.com/accessibe,https://www.linkedin.com/company/accessibe,,"accessiBe is the market leader in web accessibility solutions and technologies.  As a web accessibility hub, accessiBe provides different AI-Powered solutions for testing and remediating web accessibility, as well as various professional services aimed to create an inclusive web and help businesses comply with web accessibility standards and regulations i.e. WCAG and ADA. accessiBe’s full suite of web accessibility solutions enable businesses of all sizes, from solopreneurs to large corporations, to take part in global inclusion efforts and to make their websites available to everybody, regardless of ability. accessiBe's founding team has deep domain expertise in the field of web development and accessibility services and has developed the technologies in close partnership with users who have vision impairments or blindness, epilepsy, motor impairments, cognitive dysfunctions, and other disabilities.",,,30000000,USD,30000000,Series A,58500000,USD,58500000,30000000,USD,30000000,Series A,Early Stage Venture,"K1 Investment Management, Nadav Dakner",,,7,"303,032",hello@accessibe.com,
Dune Analytics,https://www.crunchbase.com/organization/dune-analytics,2022-02-02,11-50,2018-01-01,year,"Analytics, Blockchain, Cryptocurrency, Ethereum, Trading Platform","Oslo, Oslo, Norway",Dune Analytics is an Ethereum-centric analytics platform that makes on-chain crypto data accessible and consumable.,"1,756",$100M to $500M,Active,For Profit,https://www.duneanalytics.com/,https://twitter.com/DuneAnalytics,,https://www.linkedin.com/company/dune-analytics/,Unicorn,Dune Analytics is the Ethereum-centric analytics platform that makes on-chain crypto data accessible and consumable. The company was founded by Fredrik Haga and Mats Olsen in 2018 and is headquartered in,,,69420000,USD,69420000,Series B,79420000,USD,79420000,69420000,USD,69420000,Series B,Early Stage Venture,"Digital Currency Group, Redpoint, Dragonfly Capital Partners, Coinbase Ventures, Coatue",,,10,"8,041",support@duneanalytics.com,
Checkstep,https://www.crunchbase.com/organization/checkstep,2022-05-30,11-50,2020-05-04,day,"Artificial Intelligence, Content, Information Technology","London, England, United Kingdom",Checkstep develops an AI-driven platform designed to automate the process of moderating user-generated content.,"1,841",,Active,For Profit,https://www.checkstep.com/,https://twitter.com/checkstep,,https://www.linkedin.com/company/checkstep,,Checkstep develops an AI-driven platform designed to automate the process of moderating user-generated content. It is a fully hosted platform that reviews every piece of user-generated content and enforces the terms of service. It also empowers large teams of moderators to ensure compliance with recent changes in online safety regulations.,,,5000000,USD,5000000,Seed,9760000,USD,9760000,5000000,USD,5000000,Seed,Seed,"Quiet Capital, KepalaBergetar TV, Dawn Capital, Edward Lando, Village Global",,,9,"141,044",contact@checkstep.com,
Enapter,https://www.crunchbase.com/organization/enapter,2022-05-25,101-250,2017-10-01,day,"Energy, Oil and Gas, Renewable Energy, Software","Berlin, Berlin, Germany",Enapter makes hydrogen generators with patented Anion Exchange Membrane (AEM) technology and energy management software.,"1,929",$10M to $50M,Active,For Profit,https://www.enapter.com,https://twitter.com/Enapter,https://www.facebook.com/enapterenergystorage/,https://www.linkedin.com/company/enapter,,"Enapter is an energy technology company mass-producing modular electrolyzers for smart and simple hydrogen generation from kilowatt to megawatt-scales. By making green hydrogen production accessible, affordable, and scalable with AEM (Anion Exchange Membrane) Electrolysers, Enapter is enabling society to fully replace fossil fuels and flip global warming.",,,20000000,EUR,21373892,Post-IPO Equity,92928516,USD,92928516,20000000,EUR,21373892,Post-IPO Equity,IPO,"Johnson Matthey, Ragnar Kruse, Earthshot Prize",,,15,"48,324",info@enapter.com,+49 30 92100 8130
Defacto,https://www.crunchbase.com/organization/defacto-588a,2022-06-07,11-50,2021-05-01,month,"B2B, Credit, Embedded Systems, Financial Services, FinTech, Information Technology, Lending, Payments","Paris, Ile-de-France, France",Defacto is a fintech firm that offers credit infrastructure using an API for small and medium companies.,"1,951",,Active,For Profit,https://www.getdefacto.com,https://twitter.com/getdefacto,,https://www.linkedin.com/company/getdefacto,,"Defacto is a fintech firm that offers credit infrastructure using an API for small and medium companies. Defacto is an embedded finance product,",,,15000000,EUR,16045886,Series A,18000000,EUR,19479041,15000000,EUR,16045886,Series A,Early Stage Venture,"Headline, Global Founders Capital, Northzone, Victoria van Lennep, Didier Valet",,,10,456,jordane@getdefacto.com,
Worldcoin,https://www.crunchbase.com/organization/worldcoin,2022-03-23,101-250,2019-01-01,year,Cryptocurrency,"Berlin, Berlin, Germany",Worldcoin is a new global digital currency that will launch by giving a free share to every human on Earth.,"1,965",,Active,,https://worldcoin.org/,https://twitter.com/worldcoin,,https://www.linkedin.com/company/worldcoinfoundation/,Unicorn,Worldcoin is a new global digital currency that will launch by giving a free share to every human on Earth.,,,100000000,USD,100000000,Undisclosed,125000000,USD,125000000,100000000,USD,100000000,Undisclosed,,"Andreessen Horowitz, Digital Currency Group, Coinbase Ventures, Three Arrows Capital, Khosla Ventures",,,9,"353,112",,
RevealSecurity (formerly TrackerDetect),https://www.crunchbase.com/organization/trackerdetect,2022-06-21,11-50,2020-01-01,year,"Analytics, Business Intelligence, Cloud Security, Cyber Security, Fraud Detection, Intrusion Detection, Risk Management","Ramat Gan, Tel Aviv, Israel","Monitoring Privileged Users, Malicious Insiders and Imposters to Detect Anomalies in Applications and Platforms","1,967",,Active,For Profit,https://www.reveal.security,https://twitter.com/TrackerIq,,https://www.linkedin.com/company/revealsecurity/,,"TrackerIQ is an application-centric insider threat detection platform based on Activity Flow Analytics, both SaaS or on-prem. Today’s detection solutions are geared towards infrastructure, authentication, and data access use-cases - they don’t analyze user activity flows on the application layer after the user has logged in. TrackerIQ is powered by a patent-pending clustering engine that was developed for grouping the user’s activity flows and generating profiles. The Activity Flow Analytics model is based on activities performed by the user, the order in which they were performed, and the time gaps between these activities. Since each user has many activity flows per application, TrackerIQ learns for each user (or group of users) his/her activity flow profiles. These profiles enable an accurate detection of anomaly activity flows. SaaS security , Anomaly detection for SaaS , Insider Threat Protection , CDR, Cloud Detection Response, and SaaS Detection and Response",,,23000000,USD,23000000,Series A,23000000,USD,23000000,23000000,USD,23000000,Series A,Early Stage Venture,"Hanaco Venture Capital, SYN Ventures, World Trade Ventures (WTV), Silvertech Ventures",,,3,,info@trackerdetect.com,
